Country,volume
Piramal,32861000.0
CIS FARMA LLC,13669000.0
United Kingdom,12515005.0
GR,10639724.0
Pharmathen ,5005000.0
Unicef,2735000.0
Ireland,1932500.0
Jordan,1475000.0
MSF,1172500.0
Germany,880000.0
UNITED KINGDOM - TROTWOOD,853500.0
Libya,813000.0
ICRC,735000.0
Inter Pharma Pty Ltd,725000.0
Kosovo,615000.0
Cyprus,387000.0
Trans Arabia Drug Store LLC,330000.0
Czech Republic,321000.0
PREMIX MEDICAL SUPPLIES CO.,270005.0
FrostPharma AB,261500.0
Moldova,252500.0
Pan American Health Organization,250000.0
Imres UN,250000.0
DEMOGEN France,210000.0
JSC ”Farmak”,171500.0
Georgia,143000.0
Bahrain,140000.0
The Medical Export Group,125000.0
"Hind Wing Co., Ltd",125000.0
Bivid Pharma Co. Ltd,115000.0
