Row Labels,Sum of Pack slot ΒΟ,Sum of Pack slot Q1,Sum of Pack slot Q4,Sum of Pack slot Q3,Sum of Pack slot Q2,Unnamed: 6
0002ml,19,53,75,74,62,
DEMO,2,30,14,21,7,
5,,15,4,6,3,
10,2,15,10,15,4,
Piramal,17,23,61,53,55,
5,13,21,41,51,41,
10,4,2,20,2,14,
0005ml,22,63,106,99,89,
DEMO,16,47,48,52,49,
5,10,10,11,18,14,
10,,2,3,,1,
12,6,35,34,34,34,
Pharmathen ,,,24,28,18,
5,,,21,24,15,
10,,,3,4,3,
Piramal,6,16,34,19,22,
5,4,16,28,15,20,
10,2,,6,4,2,
0010ml,61,66,71,78,71,
DEMO,1,4,3,1,1,
5,,4,2,1,1,
10,1,,1,,,
Piramal,60,62,68,77,70,
5,46,38,58,58,61,
10,14,24,10,19,9,
0020ml,,,1,,1,
Piramal,,,1,,1,
5,,,1,,1,
Grand Total,102,182,253,251,223,
Row Labels,Sum of BO&Q1 pack slot,Sum of BO&Q1 points,Sum of Point Q1,Sum of Pack slot Q1,Sum of Pack slot ΒΟ,Sum of Point BO
Dividella,82,238828,9376,31,51,229452
Farcon,202,217238,71777,151,51,145461
0002ml,51,54861,13218,39,12,41643
DEMO,32,19102,10497,30,2,8605
5,15,4650,4650,15,,
10,17,14452,5847,15,2,8605
Piramal,19,35759,2721,9,10,33038
5,13,23939,2115,7,6,21824
10,6,11820,606,2,4,11214
0005ml,81,67660,23306,63,18,44354
DEMO,63,60224,18474,47,16,41750
5,20,37354,4028,10,10,33326
10,2,806,806,2,,
12,41,22064,13640,35,6,8424
Pharmathen ,,,,,,
Piramal,18,7436,4832,16,2,2604
5,16,4832,4832,16,,
10,2,2604,,,2,2604
0010ml,70,94717,35253,49,21,59464
DEMO,5,23015,21611,4,1,1404
5,4,21611,21611,4,,
10,1,1404,,,1,1404
Piramal,65,71702,13642,45,20,58060
5,27,32188,6370,21,6,25818
10,38,39514,7272,24,14,32242
Grand Total,284,456066,81153,182,102,374913
